s1,s2,s3,action,reward,ns1,ns2,ns3,done
-0.8525108,0.5227096,-6.2209554,1.2720590636899725,-10.587863,-0.67344886,0.73923385,-5.6381145,0.0
-0.67344886,0.73923385,-5.6381145,1.4429223330253738,-8.515448,-0.4754732,0.8797302,-4.8672504,0.0
-0.4754732,0.8797302,-4.8672504,-1.9721914778752372,-6.6424904,-0.26705694,0.96368074,-4.5032816,0.0
-0.26705694,0.96368074,-4.5032816,0.042989210310262926,-5.4177313,-0.081543475,0.99666977,-3.7740726,0.0
-0.081543475,0.99666977,-3.7740726,-0.33035598740488403,-4.154998,0.07210944,0.9973967,-3.0761237,0.0
0.07210944,0.9973967,-3.0761237,-1.111568758117079,-3.193364,0.19564258,0.9806753,-2.4948115,0.0
0.19564258,0.9806753,-2.4948115,-1.5205385306652688,-2.512277,0.29196617,0.95642865,-1.9873859,0.0
0.29196617,0.95642865,-1.9873859,-0.6495393143854882,-2.019779,0.3566286,0.93424624,-1.3674953,0.0
0.3566286,0.93424624,-1.3674953,1.7716388156500766,-1.6449158,0.3752903,0.9269073,-0.40106475,0.0
0.3752903,0.9269073,-0.40106475,-0.7071882719169791,-1.4233863,0.36655918,0.93039477,0.18803751,0.0
0.36655918,0.93039477,0.18803751,0.07516248697346439,-1.4327337,0.32447124,0.94589555,0.89710796,0.0
0.32447124,0.94589555,0.89710796,0.8120758355807114,-1.6195921,0.24162063,0.97037077,1.728341,0.0
0.24162063,0.97037077,1.728341,-0.5454815904828241,-2.0593078,0.124993004,0.99215764,2.374297,0.0
0.124993004,0.99215764,2.374297,1.8871283308838427,-2.6566894,-0.0447385,0.99899876,3.4014843,0.0
